[::] -- Forward Selection Search Tree Level 1 -- [::]
        - Testing without features  | Default Rate: %80.7
        - Testing with features [1] | Accuracy: %68.8
        - Testing with features [2] | Accuracy: %69.8
        - Testing with features [3] | Accuracy: %67.8
        - Testing with features [4] | Accuracy: %72.2
        - Testing with features [5] | Accuracy: %71.3
        - Testing with features [6] | Accuracy: %68.0
        - Testing with features [7] | Accuracy: %86.4
        - Testing with features [8] | Accuracy: %70.5
        - Testing with features [9] | Accuracy: %66.1
        - Testing with features [10] | Accuracy: %69.4
        - Testing with features [11] | Accuracy: %66.6
        - Testing with features [12] | Accuracy: %68.9
        - Testing with features [13] | Accuracy: %68.8
        - Testing with features [14] | Accuracy: %67.7
        - Testing with features [15] | Accuracy: %68.7
        - Testing with features [16] | Accuracy: %68.8
        - Testing with features [17] | Accuracy: %67.6
        - Testing with features [18] | Accuracy: %65.5
        - Testing with features [19] | Accuracy: %69.0
        - Testing with features [20] | Accuracy: %67.1
        - Testing with features [21] | Accuracy: %71.0
        - Testing with features [22] | Accuracy: %70.2
        - Testing with features [23] | Accuracy: %67.2
        - Testing with features [24] | Accuracy: %69.5
        - Testing with features [25] | Accuracy: %71.3
        - Testing with features [26] | Accuracy: %68.8
        - Testing with features [27] | Accuracy: %66.3
        - Testing with features [28] | Accuracy: %68.7
        - Testing with features [29] | Accuracy: %69.4
        - Testing with features [30] | Accuracy: %68.1
        - Testing with features [31] | Accuracy: %67.1
        - Testing with features [32] | Accuracy: %68.8
        - Testing with features [33] | Accuracy: %71.6
        - Testing with features [34] | Accuracy: %70.5
        - Testing with features [35] | Accuracy: %68.6
        - Testing with features [36] | Accuracy: %69.6
        - Testing with features [37] | Accuracy: %68.5
        - Testing with features [38] | Accuracy: %68.1
        - Testing with features [39] | Accuracy: %67.7
        - Testing with features [40] | Accuracy: %69.8
     [+] -- On level 1, we add feature subset [7] with an accuracy of %86.4

[::] -- Forward Selection Search Tree Level 2 -- [::]
        - Testing with features [7 1] | Accuracy: %82.7
        - Testing with features [7 2] | Accuracy: %83.9
        - Testing with features [7 3] | Accuracy: %82.8
        - Testing with features [7 4] | Accuracy: %96.2
        - Testing with features [7 5] | Accuracy: %85.0
        - Testing with features [7 6] | Accuracy: %82.2
        - Testing with features [7 8] | Accuracy: %83.7
        - Testing with features [7 9] | Accuracy: %81.8
        - Testing with features [ 7 10] | Accuracy: %84.2
        - Testing with features [ 7 11] | Accuracy: %82.8
        - Testing with features [ 7 12] | Accuracy: %82.3
        - Testing with features [ 7 13] | Accuracy: %84.1
        - Testing with features [ 7 14] | Accuracy: %83.6
        - Testing with features [ 7 15] | Accuracy: %83.5
        - Testing with features [ 7 16] | Accuracy: %82.6
        - Testing with features [ 7 17] | Accuracy: %83.3
        - Testing with features [ 7 18] | Accuracy: %83.3
        - Testing with features [ 7 19] | Accuracy: %82.7
        - Testing with features [ 7 20] | Accuracy: %83.9
        - Testing with features [ 7 21] | Accuracy: %83.0
        - Testing with features [ 7 22] | Accuracy: %85.7
        - Testing with features [ 7 23] | Accuracy: %84.6
        - Testing with features [ 7 24] | Accuracy: %82.9
        - Testing with features [ 7 25] | Accuracy: %82.9
        - Testing with features [ 7 26] | Accuracy: %84.1
        - Testing with features [ 7 27] | Accuracy: %83.7
        - Testing with features [ 7 28] | Accuracy: %84.6
        - Testing with features [ 7 29] | Accuracy: %84.7
        - Testing with features [ 7 30] | Accuracy: %85.1
        - Testing with features [ 7 31] | Accuracy: %82.9
        - Testing with features [ 7 32] | Accuracy: %83.7
        - Testing with features [ 7 33] | Accuracy: %84.0
        - Testing with features [ 7 34] | Accuracy: %82.1
        - Testing with features [ 7 35] | Accuracy: %83.7
        - Testing with features [ 7 36] | Accuracy: %82.7
        - Testing with features [ 7 37] | Accuracy: %83.1
        - Testing with features [ 7 38] | Accuracy: %82.2
        - Testing with features [ 7 39] | Accuracy: %85.6
        - Testing with features [ 7 40] | Accuracy: %85.3
